id,formation_energy_ev_natom,bandgap_energy_ev
377,0.033,0.962
378,0.303,1.262
379,0.130,1.353
380,0.064,3.663
381,0.229,3.522
382,0.215,2.001
383,0.066,3.004
384,0.337,0.780
385,0.186,1.294
386,0.291,2.376
387,0.176,0.658
388,0.055,3.971
389,0.094,4.032
390,0.200,2.198
391,0.222,1.377
392,0.315,2.814
393,0.300,0.927
394,0.036,1.137
395,0.307,0.406
396,0.249,2.221
397,0.194,2.317
398,0.326,0.202
399,0.261,1.288
400,0.238,2.553
401,0.100,2.789
402,0.019,2.214
403,0.217,0.876
404,0.167,2.013
405,0.200,2.445
406,0.073,1.036
407,0.246,1.906
408,0.169,1.153
409,0.134,1.351
410,0.071,0.960
411,0.192,1.012
412,0.008,1.864
413,0.145,1.352
414,0.063,0.948
415,0.151,1.511
416,0.315,0.267
417,0.088,0.954
418,0.323,0.528
419,0.102,4.229
420,0.148,0.956
421,0.168,2.043
422,0.206,1.431
423,0.179,3.483
424,0.094,4.032
425,0.384,1.391
426,0.170,2.445
427,0.030,0.939
428,0.167,2.284
429,0.220,1.540
430,0.164,2.810
431,0.174,1.691
432,0.189,2.779
433,0.030,0.939
434,0.328,1.410
435,0.198,2.338
436,0.207,2.866
437,0.133,1.674
438,0.323,2.021
439,0.316,0.321
440,0.182,2.729
441,0.334,0.784
442,0.328,0.362
443,0.226,3.220
444,0.145,1.555
445,0.096,1.957
446,0.240,2.370
447,0.039,4.822
448,0.235,2.720
449,0.316,0.623
450,0.155,2.497
451,0.335,1.373
452,0.125,1.551
453,0.087,1.881
454,0.121,1.196
455,0.331,0.747
456,0.220,2.355
457,0.090,1.265
458,0.172,2.327
459,0.200,1.789
460,0.027,2.898
461,0.281,0.433
462,0.117,1.875
463,0.146,2.159
464,0.090,0.971
465,0.161,3.453
466,0.048,0.950
467,0.359,0.789
468,0.280,1.131
469,0.257,1.917
470,0.158,1.221
471,0.105,2.989
472,0.299,1.605
473,0.028,3.816
474,0.119,1.371
475,0.211,2.508
476,0.166,1.962
477,0.082,3.514
478,0.150,0.967
479,0.287,2.185
480,0.117,1.262
481,0.131,2.035
482,0.130,1.114
483,0.374,2.040
484,0.165,1.647
485,0.247,1.186
486,0.085,1.029
487,0.173,1.106
488,0.142,2.059
489,0.194,1.640
490,0.227,2.263
491,0.359,1.307
492,0.210,2.571
493,0.177,1.585
494,0.344,0.836
495,0.369,1.493
496,0.298,0.700
497,0.045,1.138
498,0.194,2.284
499,0.200,2.198
500,0.166,1.962
501,0.076,0.960
502,0.350,1.250
503,0.214,2.711
504,0.184,0.833
505,0.338,1.294
506,0.217,1.372
507,0.345,1.264
508,0.294,0.509
509,0.135,1.861
510,0.053,0.944
511,0.245,1.759
512,0.087,2.276
513,0.190,2.326
514,0.021,1.772
515,0.535,1.500
516,0.053,2.421
517,0.143,1.633
518,0.280,2.884
519,0.181,0.867
520,0.109,3.391
521,0.244,2.165
522,0.071,0.960
523,0.182,2.729
524,0.080,1.082
525,0.230,1.905
526,0.173,3.912
527,0.218,2.869
528,0.044,4.455
529,0.393,1.293
530,0.303,1.262
531,0.117,1.875
532,0.179,1.270
533,0.018,2.523
534,0.134,1.351
535,0.083,2.228
536,0.109,1.153
537,0.213,0.941
538,0.102,1.017
539,0.054,4.196
540,0.097,2.450
541,0.334,2.396
542,0.253,1.729
543,0.133,3.067
544,0.373,1.340
545,0.407,1.409
546,0.233,2.577
547,0.160,3.609
548,0.338,1.272
549,0.209,2.606
550,0.044,4.455
551,0.302,1.777
552,0.114,0.986
553,0.201,2.730
554,0.353,0.914
555,0.351,1.524
556,0.200,2.426
557,0.186,2.017
558,0.102,2.896
559,0.238,0.958
560,0.235,2.720
561,0.099,1.001
562,0.231,2.327
563,0.266,1.952
564,0.110,3.405
565,0.338,0.598
566,0.110,3.332
567,0.535,1.500
568,0.302,1.455
569,0.218,1.599
570,0.329,1.521
571,0.290,1.287
572,0.133,1.113
573,0.235,2.720
574,0.127,1.855
575,0.027,3.240
576,0.237,2.502
577,0.284,0.581
578,0.242,1.049
579,0.183,1.278
580,0.150,1.464
581,0.066,3.461
582,0.096,1.098
583,0.262,1.481
584,0.125,1.351
585,0.238,1.034
586,0.028,5.188
587,0.028,5.188
588,0.159,3.649
589,0.358,0.771
590,0.154,1.990
591,0.032,2.927
592,0.222,1.377
593,0.128,1.054
594,0.064,3.663
595,0.134,1.750
596,0.037,1.368
597,0.243,0.903
598,0.146,0.834
599,0.246,2.265
600,0.208,2.129
